0.161, 1.734, 2.643, 0.668, 0.733, -0.051, 0.119
0.157, 1.697, 2.587, 0.674, 0.732, -0.039, 0.092
0.157, 1.69, 2.577, 0.659, 0.742, 0.005, 0.127
0.157, 1.693, 2.581, 0.66, 0.741, 0.003, 0.127
0.156, 1.683, 2.565, 0.662, 0.74, 0.002, 0.117
0.158, 1.702, 2.594, 0.663, 0.739, -0.013, 0.123
0.16, 1.724, 2.629, 0.667, 0.734, -0.04, 0.12
0.161, 1.73, 2.638, 0.659, 0.739, -0.022, 0.14
0.162, 1.744, 2.659, 0.661, 0.736, -0.039, 0.141
0.157, 1.691, 2.578, 0.662, 0.74, -0.005, 0.119
0.161, 1.739, 2.652, 0.665, 0.734, -0.046, 0.129
0.155, 1.674, 2.552, 0.666, 0.739, -0.002, 0.104
0.157, 1.695, 2.584, 0.664, 0.739, -0.008, 0.117
0.162, 1.74, 2.653, 0.659, 0.737, -0.032, 0.143
0.154, 1.654, 2.522, 0.667, 0.739, 0.006, 0.096
